value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex,tokenID
100000000000000000000,0x444e0c0c75e49551ee7f468f242c77d5180d4ec8012b428991d1aae19ff72943,3648114,2544752,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,98573,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,77598,,51732,0x42d70f508d85154293a1356b9efd322e731791a1734d74e52fd7ff7c7acc286c,0xa9059cbb0000000000000000000000007273a4caed4e3ccce1354b47de03772f20ddd2430000000000000000000000000000000000000000000000056bc75e2d63100000,0,62,2024-05-21 18:23:11,0x7273a4caed4e3ccce1354b47de03772f20ddd243,18,Swamps GOV,GSWP,1,
4751354745735457929790,0x4db58dae0ef3952b586a2d3fd6d91a8fa57f165ef3d3aba69f2c9832b2016daf,3648047,2544819,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x9a15065250e4d28892522b7b337a335ea308d3cb,272238,,224646,0x1088400b4a224f21607a0098c077d11f98a65ef81a138a83388f5edd32296968,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,13,61,2024-05-21 18:20:57,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV,GSWP,1,
19005418982941831719158,0x4db58dae0ef3952b586a2d3fd6d91a8fa57f165ef3d3aba69f2c9832b2016daf,3648047,2544819,0x4340cf4ac0c23d467a3f3088323e99cea506e519,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x1088400b4a224f21607a0098c077d11f98a65ef81a138a83388f5edd32296968,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,9,61,2024-05-21 18:20:57,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV Escrowed Token,xGSWP,1,
1563182837638697079034,0xd0ebd6432c52df15f002abc138af1d70b2b60226f254d9003a0339dee5a3f44b,3648044,2544822,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x64de1b1d3685e751ab8a74c8a4c9ec55b7894518,272238,,224646,0x2afdd61cf4bc89d4304a92e2e18a4933667352ec15b63f5916fb2a7d41024431,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000006,13,60,2024-05-21 18:20:51,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV,GSWP,1,
6252731350554788316136,0xd0ebd6432c52df15f002abc138af1d70b2b60226f254d9003a0339dee5a3f44b,3648044,2544822,0x4340cf4ac0c23d467a3f3088323e99cea506e519,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x2afdd61cf4bc89d4304a92e2e18a4933667352ec15b63f5916fb2a7d41024431,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000006,9,60,2024-05-21 18:20:51,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV Escrowed Token,xGSWP,1,
3459783806614525537139,0xc2a6c6f6b7553127db06ecd730661dd946db58e1fdeb730b6db31a5f153fbad2,3648013,2544853,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x64de1b1d3685e751ab8a74c8a4c9ec55b7894518,272238,,224646,0x1bdd3d57f1ceb58d9620747666a90e92af73842730430f663fccf6d1823f827c,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,13,59,2024-05-21 18:19:49,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV,GSWP,1,
13839135226458102148554,0xc2a6c6f6b7553127db06ecd730661dd946db58e1fdeb730b6db31a5f153fbad2,3648013,2544853,0x4340cf4ac0c23d467a3f3088323e99cea506e519,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x1bdd3d57f1ceb58d9620747666a90e92af73842730430f663fccf6d1823f827c,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000003,9,59,2024-05-21 18:19:49,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV Escrowed Token,xGSWP,1,
5267510321604051995092,0xc76cfc42af5dc665d125ae29ccc4ed7fa8a0e07c74ccb95621e60485ec077ddb,3648002,2544864,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x063ba27aa795d6e93ff83938c2e3c603518d64fa,272238,,224646,0x5e1c5a7ea2db898de065a16d0e8aa28c85153c58a097720acc2cb093d63e2e83,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000005,13,58,2024-05-21 18:19:27,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV,GSWP,1,
21070041286416207980368,0xc76cfc42af5dc665d125ae29ccc4ed7fa8a0e07c74ccb95621e60485ec077ddb,3648002,2544864,0x4340cf4ac0c23d467a3f3088323e99cea506e519,271487,0x0000000000000000000000000000000000000000,272238,,224646,0x5e1c5a7ea2db898de065a16d0e8aa28c85153c58a097720acc2cb093d63e2e83,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000005,9,58,2024-05-21 18:19:27,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV Escrowed Token,xGSWP,1,
2631066307290436751035,0x46b041516d4324ca6c0ee7cbdfef87c7257759aa24a2b709f5df3e96af849ae8,3647991,2544875,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,271487,0x063ba27aa795d6e93ff83938c2e3c603518d64fa,272238,,224646,0x4392a78f670dcf89615a3f3128bd6759d47833065a8f0235652cd767cd7f2b56,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000004,13,57,2024-05-21 18:19:05,0x33ad7e5c56619f762c3b486fb66519e8dcaa2682,18,Swamps GOV,GSWP,1,
