value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex
27154279238937249579,0x2131a863913dff65036c61374d9e8587f345f0de9cee53f107e1bba30c3ad868,3658024,2534839,0x555f5b7ac35f5d83e71041d1f35eca10c10fbc9b,500820,0x9f78700679980808c78446d741862c44ec9dff83,505720,,453967,0x9505badd288ca4c241aa12263467ae15c923a8ec805781ed701a68c8687031bd,0xf02a76a500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c953e7e427783eb0000000000000000000000000000000000000000000001700254d291aad000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561ead7c382e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b11fd6cac4667298611d66d65b7cebffff76f423000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102a36ae10b5a462210000000000000000000000004932e9038b9090f91a81e49ce08796c9a74c41c400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e128adba8e752e60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a79bc0c0844181be84d83f9e144707c95a537cff000000000000000000000000da309e8e33ca427074b5735df3901f64fb4cd6100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ec579d9aeeedcbc220000000000000000000000002ff2d14c1808e269d7e5407b511a8e09d049821900000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d,22,78,2024-05-21 23:53:31,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Wrapped SWP,WSWP,1
22502846242301496,0x2131a863913dff65036c61374d9e8587f345f0de9cee53f107e1bba30c3ad868,3658024,2534839,0x23d7b03427c3eeb3ebaedcf0a732ee60ad71106d,500820,0x2ff2d14c1808e269d7e5407b511a8e09d0498219,505720,,453967,0x9505badd288ca4c241aa12263467ae15c923a8ec805781ed701a68c8687031bd,0xf02a76a500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c953e7e427783eb0000000000000000000000000000000000000000000001700254d291aad000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561ead7c382e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b11fd6cac4667298611d66d65b7cebffff76f423000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102a36ae10b5a462210000000000000000000000004932e9038b9090f91a81e49ce08796c9a74c41c400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e128adba8e752e60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a79bc0c0844181be84d83f9e144707c95a537cff000000000000000000000000da309e8e33ca427074b5735df3901f64fb4cd6100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ec579d9aeeedcbc220000000000000000000000002ff2d14c1808e269d7e5407b511a8e09d049821900000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d,18,78,2024-05-21 23:53:31,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,USDC,USDC,1
1192758860657913333,0x2131a863913dff65036c61374d9e8587f345f0de9cee53f107e1bba30c3ad868,3658024,2534839,0xda309e8e33ca427074b5735df3901f64fb4cd610,500820,0xa79bc0c0844181be84d83f9e144707c95a537cff,505720,,453967,0x9505badd288ca4c241aa12263467ae15c923a8ec805781ed701a68c8687031bd,0xf02a76a500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c953e7e427783eb0000000000000000000000000000000000000000000001700254d291aad000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561ead7c382e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b11fd6cac4667298611d66d65b7cebffff76f423000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102a36ae10b5a462210000000000000000000000004932e9038b9090f91a81e49ce08796c9a74c41c400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e128adba8e752e60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a79bc0c0844181be84d83f9e144707c95a537cff000000000000000000000000da309e8e33ca427074b5735df3901f64fb4cd6100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ec579d9aeeedcbc220000000000000000000000002ff2d14c1808e269d7e5407b511a8e09d049821900000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d,13,78,2024-05-21 23:53:31,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,KEVIN,KEVIN,1
378759038427,0x2131a863913dff65036c61374d9e8587f345f0de9cee53f107e1bba30c3ad868,3658024,2534839,0x30c52d4885165cafa5ce01a9d23ed44d15479240,500820,0x4932e9038b9090f91a81e49ce08796c9a74c41c4,505720,,453967,0x9505badd288ca4c241aa12263467ae15c923a8ec805781ed701a68c8687031bd,0xf02a76a500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c953e7e427783eb0000000000000000000000000000000000000000000001700254d291aad000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561ead7c382e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b11fd6cac4667298611d66d65b7cebffff76f423000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102a36ae10b5a462210000000000000000000000004932e9038b9090f91a81e49ce08796c9a74c41c400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e128adba8e752e60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a79bc0c0844181be84d83f9e144707c95a537cff000000000000000000000000da309e8e33ca427074b5735df3901f64fb4cd6100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ec579d9aeeedcbc220000000000000000000000002ff2d14c1808e269d7e5407b511a8e09d049821900000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d,8,78,2024-05-21 23:53:31,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Bitcoin,BTC,1
22073542521657364,0x2131a863913dff65036c61374d9e8587f345f0de9cee53f107e1bba30c3ad868,3658024,2534839,0xf7ade41d0e6422309a2e0d1338e34c5280e2076b,500820,0xb11fd6cac4667298611d66d65b7cebffff76f423,505720,,453967,0x9505badd288ca4c241aa12263467ae15c923a8ec805781ed701a68c8687031bd,0xf02a76a500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c953e7e427783eb0000000000000000000000000000000000000000000001700254d291aad000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561ead7c382e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b11fd6cac4667298611d66d65b7cebffff76f423000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102a36ae10b5a462210000000000000000000000004932e9038b9090f91a81e49ce08796c9a74c41c400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e128adba8e752e60000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a79bc0c0844181be84d83f9e144707c95a537cff000000000000000000000000da309e8e33ca427074b5735df3901f64fb4cd6100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ec579d9aeeedcbc220000000000000000000000002ff2d14c1808e269d7e5407b511a8e09d049821900000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d,3,78,2024-05-21 23:53:31,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Tether USD,USDT,1
45724944493391474851,0x1019f1e4a963508739ec30f339a49e7b3d54be58e0f61f93f0fb8acd3dd4c268,3658015,2534848,0x555f5b7ac35f5d83e71041d1f35eca10c10fbc9b,407613,0xbfdacdb79cc3574c0ba9126f7ff59949176a1e90,405380,,360760,0x4a1506c5138a93b35d7ce35faca10084cd273da8d57dacd4a5ffda1e9ca048d1,0xf02a76a500000000000000000000000000000000000000000000000000008de558dacafe000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026bb044f0e673200000000000000000000000000000bfdacdb79cc3574c0ba9126f7ff59949176a1e90000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004d834db8999c18b09900000000000000000000000042e89e4e0c8d1454369df64dfb64f325152af77100000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000882cb6d46c54f72a00000000000000000000000053f79ff3677f1133738da918b8edc5b7aba9f16f000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286af30ee3d683ed3fe00000000000000000000000000000000000000000000000000000000000000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b,17,77,2024-05-21 23:53:13,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Wrapped SWP,WSWP,1
39249674846401191,0x1019f1e4a963508739ec30f339a49e7b3d54be58e0f61f93f0fb8acd3dd4c268,3658015,2534848,0xf7ade41d0e6422309a2e0d1338e34c5280e2076b,407613,0x9f78700679980808c78446d741862c44ec9dff83,405380,,360760,0x4a1506c5138a93b35d7ce35faca10084cd273da8d57dacd4a5ffda1e9ca048d1,0xf02a76a500000000000000000000000000000000000000000000000000008de558dacafe000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026bb044f0e673200000000000000000000000000000bfdacdb79cc3574c0ba9126f7ff59949176a1e90000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004d834db8999c18b09900000000000000000000000042e89e4e0c8d1454369df64dfb64f325152af77100000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000882cb6d46c54f72a00000000000000000000000053f79ff3677f1133738da918b8edc5b7aba9f16f000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286af30ee3d683ed3fe00000000000000000000000000000000000000000000000000000000000000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b,13,77,2024-05-21 23:53:13,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Tether USD,USDT,1
5719442860150796501,0x1019f1e4a963508739ec30f339a49e7b3d54be58e0f61f93f0fb8acd3dd4c268,3658015,2534848,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,407613,0x53f79ff3677f1133738da918b8edc5b7aba9f16f,405380,,360760,0x4a1506c5138a93b35d7ce35faca10084cd273da8d57dacd4a5ffda1e9ca048d1,0xf02a76a500000000000000000000000000000000000000000000000000008de558dacafe000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026bb044f0e673200000000000000000000000000000bfdacdb79cc3574c0ba9126f7ff59949176a1e90000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004d834db8999c18b09900000000000000000000000042e89e4e0c8d1454369df64dfb64f325152af77100000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000882cb6d46c54f72a00000000000000000000000053f79ff3677f1133738da918b8edc5b7aba9f16f000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286af30ee3d683ed3fe00000000000000000000000000000000000000000000000000000000000000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b,8,77,2024-05-21 23:53:13,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Swamps GOV,GSWP,1
624064711044,0x1019f1e4a963508739ec30f339a49e7b3d54be58e0f61f93f0fb8acd3dd4c268,3658015,2534848,0x30c52d4885165cafa5ce01a9d23ed44d15479240,407613,0x42e89e4e0c8d1454369df64dfb64f325152af771,405380,,360760,0x4a1506c5138a93b35d7ce35faca10084cd273da8d57dacd4a5ffda1e9ca048d1,0xf02a76a500000000000000000000000000000000000000000000000000008de558dacafe000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026bb044f0e673200000000000000000000000000000bfdacdb79cc3574c0ba9126f7ff59949176a1e90000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b00000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004d834db8999c18b09900000000000000000000000042e89e4e0c8d1454369df64dfb64f325152af77100000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000882cb6d46c54f72a00000000000000000000000053f79ff3677f1133738da918b8edc5b7aba9f16f000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286af30ee3d683ed3fe00000000000000000000000000000000000000000000000000000000000000000000000000000000000000009f78700679980808c78446d741862c44ec9dff83000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b,3,77,2024-05-21 23:53:13,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Bitcoin,BTC,1
645951023747505107164,0x4271c42ed09a3345678b450f976ff9afb1d0dce529db9821ac74425e0617af63,3658006,2534857,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,250755,0x42e89e4e0c8d1454369df64dfb64f325152af771,182603,,152182,0xb3219f7a246b14b1882fce135874d0eeaebc54e5ef5635ce253dc392761432a0,0x5ae401dc00000000000000000000000000000000000000000000000000000000664d34f300000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000e4472b43f300000000000000000000000000000000000000000000223244cf79c9e8f4b7a8000000000000000000000000000000000000000000000000003e2e96f755ac0200000000000000000000000000000000000000000000000000000000000000800000000000000000000000000c9f2e36279c80eb0847568b85197802871151490000000000000000000000000000000000000000000000000000000000000002000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000000000000000000,4,11,2024-05-21 23:52:55,0x9d444fa4db99ed548c6e8ecf5a89f18080aba970,18,Swamps GOV,GSWP,2
