value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex
1704999000000000000000000,0x281c4b9d91e582f1c89e6a8a89cb191d4105338d9ff05401ab3b5125ecdd2c9a,3646649,2546216,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464382,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423639,,417541,0xb177bcdfa0132680d8a0eb7aa17be4e68e2f1259785532e86dea56f07f1bf397,0xcb645e32000000000000000000000000b21872d7fda870122370281af77b9bd7a9ba2de8000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001690c2e55a424103c000000000000000000000000000000000000000000000000000000000000664ce12000000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000000b5377616d7073204b4f4c73000000000000000000000000000000000000000000,0,18,2024-05-21 17:34:21,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
2416666667000000000000000,0xd7e78ce0d64249e8e8d9ddd6372545a25aaf50ecc6a9d4ba9da9d926498429dd,3623808,2569057,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464454,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423699,,417601,0xa4b69e5b1ea050d8c1ac27f78bbf3cd2ec4eb859dc0c73dff891c186bf578433,0xcb645e32000000000000000000000000a2a2d0f55ae5453a5e8e0690e76e1c668bfa0d18000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001ffbfc334f3bdd157800000000000000000000000000000000000000000000000000000000000664c2a5000000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000000f47535750204b4f4c7320526f756e640000000000000000000000000000000000,0,16,2024-05-21 04:52:59,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
2500000000000000000000000,0x7ef84e8c40897d6c462022785df2be9f2c17e4953aca22b4afafa45aaba24c7e,3342963,2849902,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464574,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423843,,417745,0xae0240c3c2839217b41aae38ec57ab58a2bcca779539c9a2e3b1b45cbc241e94,0xcb645e32000000000000000000000000c2aa3359b78bd4223f3434bcf6b0f3b5f5d71c8f000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211654585005212800000000000000000000000000000000000000000000000000000000000006643989000000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001d5377616d7073204b4f4c7320526f756e64202d2057616c6c6574203137000000,0,15,2024-05-14 16:51:29,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
288333333300000000000000,0xa5940238e870c5579827224b74c34c476d6c4eb50d3511f108407cbcf962beeb,3336640,2856225,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464598,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423855,,417757,0xc6a89a3524be162da441d76b711806c98598485cdc829d603b3c464318a300df,0xcb645e32000000000000000000000000144944bbfd85174bfab84aca7bb00ab275bb60f8000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d0e94d144e0b8b74000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001d5377616d7073204b4f4c5320526f756e64202d2057616c6c6574203136000000,0,14,2024-05-14 13:20:43,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
2083333333000000000000000,0xc74d4fbaa389c6fafbc37f2116bbc6b0867d32e3cf8858ba56f3858723bb9968,3336623,2856242,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464610,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423867,,417769,0x026be1e7591fbbb10d011a2e0361ccad0900be199aa2bb9f77657ca6e95304fb,0xcb645e320000000000000000000000007a43a076aa277defc741878f45f877ac44f484ae000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b929b9eda66f83288000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001d5377616d7073204b4f4c5320526f756e64202d2057616c6c6574203136000000,0,13,2024-05-14 13:20:09,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
833333333300000000000000,0x4f8bf453172da3d07b4080b930c41511dd97725b369672b1a3ed298cb7d98fb6,3336241,2856624,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464598,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423843,,417745,0x0b875cdfce62532b61ecec2cf027674d2d9c3774b2d38dda14e7dea50f981aff,0xcb645e3200000000000000000000000047c7562761993a4a58d92d77d926c7697d25adce000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b077172c371fab574000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001c5377616d7073204b4f4c7320526f756e64202d2057616c6c6574203900000000,0,12,2024-05-14 13:07:25,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
291666666700000000000000,0xd53559f0b91c70f2472431f534a4f1f35a80b3a1d7d0473055dae9e23b0fb6e6,3336184,2856681,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464598,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423843,,417745,0xf67d6748afac8058e3c8400c76e6d82b06b72c8902e3e1644b351c021b769e23,0xcb645e32000000000000000000000000e67280084bdec03c834b49e6b41a5542acf870eb000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003dc3481c6f6ba9c8c000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001c5377616d7073204b4f4c7320526f756e64202d2057616c6c6574203800000000,0,11,2024-05-14 13:05:31,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
291666666700000000000000,0xee91005a2e68f6042193e425c52b8b99770993d905cb2e9ab74e63c39475c7da,3336175,2856690,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464586,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423831,,417733,0x6f99f7c51db67edbdd15b4ecf21b56e1170b84b83a9af345d45a90d0debd1047,0xcb645e32000000000000000000000000a6a6e99d1a54ee25f845634f68008d541a7e9f3c000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003dc3481c6f6ba9c8c000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001c5377616d7073204b4f4c7320526f756e64202d2057616c6c6574203800000000,0,10,2024-05-14 13:05:13,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
416666666700000000000000,0x0a831a7f38bcb5a588dc727c1487d1d847bb66dfb9fa7ce4c60a515ccb226dc8,3336158,2856707,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464586,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423843,,417745,0x03a85d5cbe1f4ad9eb6fa3df1f5c390434a126038d290c5e10f5d45a5aea75d6,0xcb645e32000000000000000000000000c9840eb190206cdb2ebe50279e22d55d2864c67b000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000583b8b9649095de8c000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001c5377616d7073204b4f4c7320526f756e64202d2057616c6c6574203800000000,0,9,2024-05-14 13:04:39,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
416666666700000000000000,0xa9b6dbe128a2743f459aa434379788794d881a74c285377e36fb815df3a1b8d5,3336143,2856722,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464574,0xb21872d7fda870122370281af77b9bd7a9ba2de8,423831,,417733,0xf78da891dd16a8f1e6cd2142d517c11198443c43285ce05234fd1a1716a21915,0xcb645e32000000000000000000000000200998f1c6bb56b100752c9334dd445c7d0740c3000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000583b8b9649095de8c000000000000000000000000000000000000000000000000000000000006643675800000000000000000000000000000000000000000000000000000000000007d000000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000007d00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000001c5377616d7073204b4f4c7320526f756e64202d2057616c6c6574203700000000,0,8,2024-05-14 13:04:09,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
