value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex
10045662000000000000,0x5517452e50b4f7aa92829def5111271b9b240a82a55447efbe38841dee0bbc56,3761626,2431238,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,340281,0x0000000000000000000000000000000000000000,368974,,293428,0x6c4ccd0faabfd0cd80b13ada4be55fbf36d1bb3361987b6b5c601ed0d9de8614,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000f0f4ee8defc2e1,1,315,2024-05-24 09:26:55,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
10045662000000000000,0xe6c1743c007a861be1122c87dd60239e576ce9be57b939e9ed513a17988a071d,3761616,2431248,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,340281,0x0000000000000000000000000000000000000000,368974,,293428,0x4f410b5edc1aeda6ff64bfaf03ea475d2d90206850d8d190d7b002f5e3da0b92,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000f0f4ee8defc2e1,1,314,2024-05-24 09:26:35,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
11050228200000000000,0xd3dd2b8a5c6ef41736acca560251718c22a0ad6ea8161bcc082e34a6427702e1,3761606,2431258,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,336031,0x0000000000000000000000000000000000000000,363662,,289178,0xf902d969fd6bc1e2a4a1e41f6c2331723a13e8a5fd09135c884d57e1a42e2500,0xf2e16b3c00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000001c6bf4c6d5f00,1,313,2024-05-24 09:26:15,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
11050228200000000000,0x61262f8e37d718bafe3cd2cab16e2252ed2cea332a08479186bf2af76e9417b9,3761595,2431269,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,338281,0x0000000000000000000000000000000000000000,366474,,291428,0xc6f61c9cea6f2573c120f29eec9ea8c19ceb0681f90776dec1badee7ba907942,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001bbbbda0e4ccf00,1,312,2024-05-24 09:25:53,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
12054794400000000000,0x687505a634a6a88df24f73c302a0a61d265d2b776ffa565aeb64e415d23ac494,3761584,2431280,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,336041,0x0000000000000000000000000000000000000000,363674,,289188,0x08ad45a56c6590c19b3267089b05ba28c3611e76a57147acb9a22a27128956ea,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001bbbbda0e4ccf00,1,311,2024-05-24 09:25:31,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
11050228200000000000,0x080d49cb2cf32c469c005cd947b37e12dff0d1a33735f54bf5e1be3af77fb23f,3761572,2431292,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,349721,0x0000000000000000000000000000000000000000,380774,,302868,0xd1f9c3aa497a6f17bbc5ddc1dd6f7750ce039fa482b738cf1803cc441931d4d2,0xf2e16b3c00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000003b9e2d6d518bf,1,310,2024-05-24 09:25:07,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
11050228200000000000,0xd0e270645b5eb411a153a7356a8f3cc2011af6d3955cbf571a7ba0251c31fb66,3761561,2431303,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,340271,0x0000000000000000000000000000000000000000,368962,,293418,0xa9a6cf2791dde931fc519d9ad4d185120e1e5a91089051be378b5adc0482b674,0xf2e16b3c0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000016345785d8a0000,1,309,2024-05-24 09:24:45,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
85312784535000000000000,0x1cb6e429a7f5fd69c847b4cf47cbd726b4288767da56f5ddb7ff230cf2e0f851,3761550,2431314,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,338271,0x0000000000000000000000000000000000000000,366462,,291418,0xab300daeb6c343422770ca792e6fde010baeab9f8bd4cedcff4941e522c17abb,0xf2e16b3c00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000018c7b09cce6800,1,308,2024-05-24 09:24:23,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
10358082088200000000000,0x58b2352817bebbf6a73f26988dfd336f1096f585ce18e4dd228cfa4abbdf6bca,3676625,2516239,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,340288,0x0000000000000000000000000000000000000000,368998,,293447,0x4df0927471424e81cb6b60f17d5e4e6bc33e2203db462a78737e2d9eafe6ef36,0xf2e16b3c00000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000306bfa7b611bc722dd,1,60,2024-05-22 10:13:33,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
10045662000000000000,0xd9e73e5869005cd396a894f33d8855e6753b026019bf72d4761582b6f0ea7c8b,3666314,2526550,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,326610,0x0000000000000000000000000000000000000000,351886,,279757,0x2ace41a61c57bd96211db0afb6f9279cd4356ebd2e526daeb4df1ba2b1afaec4,0xf2e16b3c0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000b795fbff84250170,1,300,2024-05-22 04:29:51,0xd7da5c809ff83a5b798ef26c43dafdce8b5a9595,18,Swamps GOV,GSWP,1
