value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex,tokenID
100000000000000000000,0xda21a169826940ba9606fd95b2f39accbbc56f3260fe3fa144354d828f59cbd5,3730465,2462397,0x4340cf4ac0c23d467a3f3088323e99cea506e519,103181,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,84492,,56328,0xa655532e0d7fa03e85d4353f1eb7c07350f7e99673b7ad3194513f5132c5cf0c,0xa9059cbb0000000000000000000000003b09d3e7d2fa3f3d4c54a047feed51be95e466ca0000000000000000000000000000000000000000000000056bc75e2d63100000,0,50,2024-05-23 16:08:13,0x3b09d3e7d2fa3f3d4c54a047feed51be95e466ca,18,Swamps GOV Escrowed Token,xGSWP,1,
2000000000000000000000000,0x6ef38305d1a485e9593f53e73d0a14deb8a520becf053547abb929d988290800,3647150,2545712,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,107415,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,61021,,60574,0x5dd37065bab50fb9aff469ad7966de5b1ac1835cd70e30ecdb6377d403471de4,0x0e93b35c000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000000000000000000000001a784379d99db4200000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002a30786136374338323042394235306438303735434139396634364538363330344543374165464531363800000000000000000000000000000000000000000000,0,49,2024-05-21 17:51:03,0xecd1d7553afdd6012083845bafdb39172d1bb7f0,18,Swamps GOV,GSWP,1,
3600000000000000000000000,0xd7b6c8b4e9df1c92c1e6f976ec0f0e04bab278ae113215b70a0b20522d283d23,3647045,2545817,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,98573,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,77616,,51744,0x6c5e677690392a4c76b6dc7c08c7d0a9f6e3e40aef8ceb34715f2bb005a51c5e,0xa9059cbb0000000000000000000000005c5a3f3fcc813fea345912cdd0156966ba8bf86c00000000000000000000000000000000000000000002fa54641bae8aaa000000,0,47,2024-05-21 17:47:33,0x5c5a3f3fcc813fea345912cdd0156966ba8bf86c,18,Swamps GOV,GSWP,1,
6600000000000000000000000,0x32042ee1b3e62f285fd3a7084816119aaa75103bc66d0d112fe8cfc37b6fb706,3646951,2545911,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,81473,0x107e569b61679b553826b7aa3a62efc93e3437e4,51966,,34644,0xfa7206e41fd095c4cdd30c7dd496d5d5d0b168b49a6718cf1f5982770ca757e7,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000000000000000000000005759ab78815538d000000,0,6,2024-05-21 17:44:25,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
80000000000000000000000000,0xf7f1257f716dd17b890ded04e997c8349b4ef0f667e68050c695469f04de1e01,3646460,2546402,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,447306,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,406292,,400465,0x6fbd0f94f9d8538f8e22add508fec9ad5c1113ba77f1e188a59b9a9a9f35cd82,0xcb645e32000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000422ca8b0a00a42500000000000000000000000000000000000000000000000000000000000000066bbd76000000000000000000000000000000000000000000000000000000000000000c800000000000000000000000000000000000000000000000000000000002819a000000000000000000000000000000000000000000000000000000000000000c8000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000000105377616d7073205465616d204c6f636b00000000000000000000000000000000,0,45,2024-05-21 17:28:03,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1,
1000000000000000000,0x63d3f38d532e3aa17591712d0e9c54b9d70f06e7c89ae6e270bda2611621ae5a,3646413,2546449,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,81461,0x92a91cc0d9d55d365f637f0894cb0f1df1e8a464,51930,,34620,0x30ff4be010a1bdaab4cfa34150c26ba2e80a3abd71c899ab28cdc69ba2f11970,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe1680000000000000000000000000000000000000000000000000de0b6b3a7640000,0,3,2024-05-21 17:26:29,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
70146401000000000000000,0xe404938183572704293c00e7563ed414d3aca5b9b682c4283b27085061111a5e,3646395,2546467,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,81497,0x92a91cc0d9d55d365f637f0894cb0f1df1e8a464,51984,,34656,0x03c27747d161ede0933c2d16b28aefe979d889edac5af75faa5c97184e0d11f0,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000000000000000000000000edaa4de59f071b68000,0,2,2024-05-21 17:25:53,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
6000000000000000000000000,0x166464a46ac1723d8c92e6c5843397462ede7922f695ccd91793bcf9802135ed,3646379,2546483,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,81485,0x107e569b61679b553826b7aa3a62efc93e3437e4,51966,,34644,0x5859ebee779df1038682a9dcd59e0b575cfccb14b2cfc66d10fe715283d488f4,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000000000000000000000004f68ca6d8cd91c6000000,0,5,2024-05-21 17:25:21,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
25000000000000000000000000,0xbedee328a4908c318facdc49f78c1a17577a64c77b3b21c5f076ef4dba5177ba,3644697,2548165,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464478,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,423735,,417637,0xcad999957c011e9fffdd9d87d107db3fdbb6d38270554f02b40db84530a3c698,0xcb645e32000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014adf4b7320334b900000000000000000000000000000000000000000000000000000000000000666b6be0000000000000000000000000000000000000000000000000000000000000032000000000000000000000000000000000000000000000000000000000002819a00000000000000000000000000000000000000000000000000000000000000320000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000000145377616d70732041647669736f7273204c6f636b000000000000000000000000,0,43,2024-05-21 16:29:17,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1,
70000000000000000000000,0x7c8b76c3d161ab2b71020b791d4fca3f4dd3f54a930a7b650f702cedd14cecb6,3635499,2557363,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,193863,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,77616,,51744,0x5c29ddced0bcfc6d0502af6e364d357c5b8a5195d51ed7f720013b8526e895db,0xa9059cbb0000000000000000000000004b701bb096a70a14e51352c68fb87413bcf2b4ff000000000000000000000000000000000000000000000ed2b525841adfc00000,4,41,2024-05-21 11:22:41,0x4b701bb096a70a14e51352c68fb87413bcf2b4ff,18,Swamps GOV,GSWP,3,
591607978308961,0xbb35d918ebd7b123ac6d2a99e57aa5898acbe4f5a1de4378283c718c5fdec9f9,3368326,2824536,0x42e89e4e0c8d1454369df64dfb64f325152af771,351949,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,383574,,305108,0x218fcb1732dc35834351378a918b7b50536d4fe2497f3d9cdf028aa5441ad0d3,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000021a107764b561,18,40,2024-05-15 06:56:55,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps LPs,SWAMPS-LP,1,
,0xbb35d918ebd7b123ac6d2a99e57aa5898acbe4f5a1de4378283c718c5fdec9f9,3368326,2824536,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,351949,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,383574,,305108,0x218fcb1732dc35834351378a918b7b50536d4fe2497f3d9cdf028aa5441ad0d3,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000021a107764b561,16,40,2024-05-15 06:56:55,0x0000000000000000000000000000000000000000,,Swamps Staking Position NFT,spNFT,1,1
15458859338547874345,0xbb35d918ebd7b123ac6d2a99e57aa5898acbe4f5a1de4378283c718c5fdec9f9,3368326,2824536,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,351949,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,383574,,305108,0x218fcb1732dc35834351378a918b7b50536d4fe2497f3d9cdf028aa5441ad0d3,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000021a107764b561,13,40,2024-05-15 06:56:55,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
61835437354191497378,0xbb35d918ebd7b123ac6d2a99e57aa5898acbe4f5a1de4378283c718c5fdec9f9,3368326,2824536,0x4340cf4ac0c23d467a3f3088323e99cea506e519,351949,0x0000000000000000000000000000000000000000,383574,,305108,0x218fcb1732dc35834351378a918b7b50536d4fe2497f3d9cdf028aa5441ad0d3,0xf2e16b3c000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000021a107764b561,9,40,2024-05-15 06:56:55,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV Escrowed Token,xGSWP,1,
2410958880000000000,0x526dd3713aa3a39995a82a49f280e88742af04626bf4e58e2ecd75958686ac15,3340919,2851943,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,268699,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,255138,,221846,0x0c2178f6424414726652f6327f44596173fbd7cf5522cf76011466dec5b05972,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000001,13,39,2024-05-14 15:43:21,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
9643835520000000000,0x526dd3713aa3a39995a82a49f280e88742af04626bf4e58e2ecd75958686ac15,3340919,2851943,0x4340cf4ac0c23d467a3f3088323e99cea506e519,268699,0x0000000000000000000000000000000000000000,255138,,221846,0x0c2178f6424414726652f6327f44596173fbd7cf5522cf76011466dec5b05972,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000001,9,39,2024-05-14 15:43:21,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV Escrowed Token,xGSWP,1,
1095890400000000000,0xb147ce15ed45ac30d388b51917936f5155941c7aad0c645a3c56417a3b3dc85b,3340886,2851976,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,302899,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,289338,,256046,0x4ddfce0ce3f5b14eb44032f4ccebf681cb7c96ac30ab82320aad62ca2da7c87a,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000001,13,38,2024-05-14 15:42:15,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
4383561600000000000,0xb147ce15ed45ac30d388b51917936f5155941c7aad0c645a3c56417a3b3dc85b,3340886,2851976,0x4340cf4ac0c23d467a3f3088323e99cea506e519,302899,0x0000000000000000000000000000000000000000,289338,,256046,0x4ddfce0ce3f5b14eb44032f4ccebf681cb7c96ac30ab82320aad62ca2da7c87a,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000001,9,38,2024-05-14 15:42:15,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV Escrowed Token,xGSWP,1,
5718477872800000000,0xcbbc4ece547c31643a3dc90d20d70a1252d36c80b9c63cb1f92fa3cd343babe1,3340871,2851991,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,317986,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,323525,,271133,0x4b2cd98163dba3f9e823da15b53618e757bf47e3f390c3376abebbe0a6271d0f,0x20f8e94e0000000000000000000000000000000000000000000000000000000000000001,13,37,2024-05-14 15:41:45,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
